Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope,
52.91978736,1.063333333,1.921666667,34.25,5.140172571,0.10253532,
55.42664521,1.061666667,1.985,34,5.435446583,0.1177865,
58.05225516,1.06,2.053333333,32,5.743071844,0.117163351,
60.80224262,1.0655,2.113333333,31,5.948290982,0.074625482,
63.68249945,1.060166667,2.173333333,30.25,6.235043916,0.099558113,
66.69919663,1.056166667,2.236666667,29.6,6.517376174,0.093589857,
69.85879747,1.059,2.296666667,27.25,6.724040142,0.065408252,
73.16807143,1.058333333,2.341666667,26.5,6.898051979,0.052583086,
76.63410868,1.057333333,2.388333333,24.6,7.077660322,0.051819507,
80.26433522,1.060166667,2.425,23.5,7.186751955,0.030050916,
84.06652886,1.059666667,2.461666667,22.5,7.321199435,0.035360503,
88.04883582,1.0605,2.496666667,19.55172414,7.436997803,0.029078212,
92.21978823,1.061333333,2.51,19.625,7.476438343,0.009456003,
96.58832241,1.056666667,2.53,16.33333333,7.583650274,0.024541855,
101.163798,1.056166667,2.533333333,15.5,7.599197616,0.003397973,
105.9560179,1.0605,2.53,14.04761905,7.552196966,-0.009807699,-0.009807699
116.2322469,1.0555,2.511666667,11.2,7.530075286,-0.002152704,
121.7382728,1.0508,2.48,10,7.458632334,-0.012975411,
127.5051241,1.05,2.46,8.857142857,7.394916161,-0.011048694,
133.5451563,1.0515,2.43,7.392857143,7.275939932,-0.019697946,
139.8713103,1.052,2.41,8.263157895,7.200026055,-0.012000005,
146.4971398,1.048833333,2.385,5.095238095,7.13563804,-0.009717729,
153.4368409,1.05725,2.36,6.133333333,6.974686183,-0.023192909,
160.7052818,1.054666667,2.353333333,4.791666667,6.971364525,-0.000456997,
168.3180353,1.0555,2.333333333,5,6.890370953,-0.010639195,
176.2914118,1.0535,2.316666667,4.703703704,6.844580199,-0.005742957,
184.6424943,1.054333333,2.293333333,5.083333333,6.749784926,-0.011351256,
193.389175,1.055,2.283333333,5.05,6.706337143,-0.004967345,
202.5501939,1.055833333,2.263333333,5.681818182,6.623063015,-0.009090051,
212.1451785,1.05725,2.255,6,6.579377048,-0.004553,
222.1946861,1.055,2.26,5.764705882,6.61711959,0.003755661,
232.7202479,1.052333333,2.268333333,8,6.671070953,0.005125747,
243.744415,1.053833333,2.276666667,8.125,6.690550351,0.001766972,
255.2908068,1.057,2.286666667,8.318181818,6.702557474,0.001039903,
267.3841616,1.054333333,2.303333333,8,6.787577109,0.007030277,
280.0503894,1.053833333,2.338333333,8.962962963,6.922689784,0.01066716,
293.3166278,1.0528,2.348333333,9.043478261,6.968277329,0.003436358,
307.2112999,1.057833333,2.378333333,8.85,7.037109496,0.004953853,
321.764175,1.06,2.4,9,7.098107529,0.004191476,
337.0064329,1.0585,2.435,7.642857143,7.236162064,0.009057355,
352.9707303,1.052,2.46,7.586206897,7.378387346,0.00890896,
369.6912707,1.054666667,2.496666667,8.260869565,7.484906857,0.006370578,
387.2038782,1.054333333,2.531666667,5.75,7.608571726,0.007061477,
405.5460736,1.052333333,2.553333333,5.235294118,7.699083755,0.004934634,
424.7571553,1.052666667,2.58,3.941176471,7.7865767,0.004554296,
444.8782831,1.048833333,2.586666667,3.952380952,7.840679703,0.002688865,
465.9525669,1.0562,2.63,1.736842105,7.924191707,0.003962745,
488.0251584,1.0528,2.633333333,2,7.963199206,0.001767237,
511.1433483,1.056666667,2.651666667,0.724137931,7.991618435,0.001229302,
535.3566677,1.052333333,2.63,-0.142857143,7.956048426,-0.001469027,
560.7169938,1.0528,2.62,-1.285714286,7.919108301,-0.001456611,
587.2786613,1.053833333,2.606666667,-1.1,7.866271338,-0.001989219,
615.0985789,1.051166667,2.58,-2.1,7.798962507,-0.002419448,
644.2363509,1.0515,2.553333333,-3.789473684,7.705964758,-0.003191656,
674.7544053,1.054333333,2.51,-4.636363636,7.533915686,-0.005637616,
706.7181274,1.0535,2.47,-6,7.401248266,-0.004150562,
740.1959997,1.05725,2.428333333,-5.115384615,7.222612151,-0.005335946,
775.2597489,1.0535,2.37,-5.5,7.042276121,-0.00514309,
811.9844993,1.057333333,2.346666667,-5.705882353,6.92478961,-0.00319911,
850.4489342,1.061666667,2.323333333,-5.791666667,6.802466829,-0.003180153,
890.7354639,1.056166667,2.283333333,-5.821428571,6.696737201,-0.002624441,
932.9304026,1.058333333,2.25,-5.5,6.551200864,-0.003449142,
977.1241535,1.05675,2.21,-4.952380952,6.408400344,-0.003231238,
1023.411402,1.052333333,2.173333333,-4.25,6.299460277,-0.002353565,
1071.891319,1.0625,2.146666667,-3.272727273,6.108713478,-0.003934553,
1122.667774,1.056166667,2.111666667,-2.769230769,6.017858155,-0.00178932,
1175.849554,1.0605,2.086666667,-1.95,5.878848113,-0.002613866,
1231.550603,1.060166667,2.083333333,-1.2,5.867692349,-0.000200279,
1289.890261,1.060833333,2.074,-0.318181818,5.823231889,-0.000762097,
1350.993521,1.06225,2.058333333,0.16,5.745779349,-0.001267568,
1414.991297,1.059,2.046666667,2.045454545,5.723023126,-0.000355578,
1482.020706,1.057,2.063333333,2.304347826,5.80988814,0.001295924,
1552.225357,1.061666667,2.071666667,3.95,5.806633926,-4.64E-05,
1625.755666,1.064,2.081666667,4.181818182,5.829391201,0.000309495,
1702.769172,1.066666667,2.093333333,4.9375,5.856193308,0.000348018,
1783.430877,1.0655,2.126666667,5.5625,6.002919399,0.00181903,
1867.913599,1.062833333,2.16,8.421052632,6.159771691,0.00185662,
1956.398344,1.0625,2.181666667,8.956521739,6.249189149,0.001010541,
2049.07469,1.06725,2.226666667,10,6.387780886,0.001495438,
2146.141198,1.064,2.266666667,9.875,6.568920601,0.00186614,
2247.805834,1.063666667,2.308333333,10.4,6.729859471,0.001583037,
2354.286414,1.0585,2.345,10.95238095,6.909039694,0.00168275,
2465.811076,1.063333333,2.391666667,10.7826087,7.040624447,0.001179871,
2582.618761,1.07,2.443333333,10.5,7.171978845,0.001124536,
2704.95973,1.0585,2.51,10.88888889,7.499657183,0.002678402,
2833.096102,1.063666667,2.568333333,11,7.656916777,0.001227283,
2967.302408,1.065,2.622,10.16666667,7.825661592,0.001257354,
3107.866188,1.064333333,2.671666667,8,7.994092163,0.00119825,
3255.0886,1.066,2.73,8.904761905,8.168108847,0.001181999,
3409.28507,1.0578,2.773333333,8.277777778,8.371970178,0.001322088,
3570.785965,1.057,2.82,8.142857143,8.52348242,0.000938151,
3739.937302,1.059,2.866666667,5.074074074,8.649624728,0.000745736,
3917.101491,1.0585,2.896666667,3.842105263,8.744153187,0.000533564,
4102.658106,1.058166667,2.926666667,2.8,8.83638369,0.000497048,
4297.004704,1.059,2.94,1.043478261,8.869027406,0.000167966,
4500.557676,1.0585,2.97,0.25,8.961311739,0.000453368,
4713.753134,1.06925,2.963333333,0.055555556,8.854024946,-0.000503232,
4937.047853,1.0555,2.966666667,-2,8.976210286,0.000547193,
5170.920243,1.056166667,2.963333333,-3.19047619,8.96096099,-6.52E-05,
5415.871378,1.055833333,2.95,-3.9,8.924532943,-0.000148716,
5672.426068,1.0555,2.933333333,-4.19047619,8.878063596,-0.000181128,
5941.133985,1.055,2.923333333,-5.217391304,8.85251758,-9.51E-05,
6222.570837,1.056666667,2.913333333,-5.611111111,8.809043408,-0.000154472,
6517.339605,1.059,2.92,-7.555555556,8.809737827,2.36E-06,
6826.071834,1.0585,2.9,-8.869565217,8.754142711,-0.000180076,
7149.428987,1.059,2.89,-8.7,8.720037653,-0.000105472,
7488.103858,1.05,2.893333333,-10.14285714,8.804183428,0.000248456,
7842.822061,1.053833333,2.88,-11,8.732411127,-0.000202336,
8214.343585,1.055,2.876666667,-11.84210526,8.712741627,-5.29E-05,
8603.464417,1.055,2.876666667,-12,8.712741627,4.57E-18,
9011.018252,1.052,2.88,-12.8,8.747534959,8.54E-05,
9437.878278,1.054666667,2.88,-13.9375,8.725545353,-5.15E-05,
9884.959047,1.054333333,2.873333333,-14.5,8.708161478,-3.89E-05,
10353.21843,1.0612,2.87,-17.33333333,8.641693108,-0.000141948,
10843.65969,1.06,2.86,-17,8.621203357,-4.18E-05,
11357.33358,1.057,2.848,-18.5625,8.609299953,-2.32E-05,
11895.34067,1.059,2.84,-20.79310345,8.568447599,-7.59E-05,
12458.83364,1.057,2.81,-23.16666667,8.492626652,-0.000134555,
13049.01978,1.0548,2.773333333,-25,8.396639009,-0.00016264,
13667.16356,1.0564,2.733333333,-27,8.257284103,-0.000225441,
14314.58938,1.0535,2.68,-29,8.110005082,-0.000227484,
14992.68433,1.048,2.636666667,-28.25,8.013878923,-0.000141759,
15702.90125,1.0458,2.57,-30,7.809689717,-0.000287503,
16446.76178,1.048,2.521666667,-31.4,7.6265279,-0.000246231,
17225.85965,1.0542,2.45,-33.5,7.32486145,-0.0003872,
18041.86409,1.0515,2.368333333,-35,7.05267101,-0.000333565,
18896.5234,1.0478,2.328333333,-36,6.935335232,-0.00013729,
19791.66868,1.0515,2.248333333,-37.75,6.601028445,-0.000373467,
20729.2178,1.0485,2.166666667,-36,6.304473342,-0.000316309,
21711.17946,1.05,2.091666667,-38.5,5.986063527,-0.000324259,
22739.65752,1.047333333,2.023333333,-38.25,5.719650207,-0.000259036,
23816.85552,1.0515,1.958333333,-41,5.401546784,-0.000295306,
24945.08135,1.0535,1.896666667,-39.8,5.107129435,-0.000260956,
26126.75226,1.0515,1.83,-40,4.812836254,-0.000249048,
27364.39997,1.052,1.774,-41.8,4.538757514,-0.000221451,
28660.67617,1.052666667,1.723333333,-39.8,4.281568348,-0.000198406,
30018.35814,1.052,1.675,-40.75,4.039981431,-0.000177941,
31440.35472,1.054666667,1.63,-40.5,3.781447686,-0.00018181,
32929.71255,1.0466,1.596,-40,3.665043132,-7.82E-05,
34489.6226,1.049666667,1.55,-40,3.385605845,-0.000179137,
36123.427,1.050333333,1.506666667,-40,3.133800633,-0.000154122,
37834.62617,1.048833333,1.476666667,-38.2,2.971519803,-9.48E-05,
39626.88639,1.0492,1.44,-38.25,2.750084204,-0.000123551,
41504.04758,1.047666667,1.405,-38,2.549063959,-0.000107087,
43470.13158,1.045,1.3775,-38,2.399506342,-7.61E-05,
45529.35075,1.0522,1.348333333,-37.25,2.153979475,-0.000119233,
47686.11698,1.0458,1.326666667,-37,2.066263597,-4.07E-05,
49945.05116,1.0485,1.293333333,-36.4,1.822840721,-0.00010776,
52310.99308,1.048,1.28,-36.8,1.73697374,-3.63E-05,
54789.0118,1.047333333,1.256666667,-36,1.58270339,-6.23E-05,
57384.41648,1.0438,1.24,-37.2,1.496087853,-3.34E-05,
60102.76782,1.0458,1.22,-34.8,1.338223864,-5.81E-05,
62949.8899,1.048,1.201666667,-35.5,1.188454634,-5.26E-05,
65931.88271,1.045,1.19,-35.4,1.128613419,-2.01E-05,
69055.1352,1.0472,1.18,-34.5,1.037047475,-2.93E-05,
72326.33896,1.047333333,1.173333333,-34.66666667,0.986729655,-1.54E-05,
75752.50259,1.043,1.165,-34.5,0.960832339,-7.56E-06,
79340.96666,1.0415,1.15,-35,0.860771321,-2.79E-05,
83099.41949,1.045333333,1.135,-35.66666667,0.714821245,-3.88E-05,
87035.91361,1.0445,1.125,-35,0.644881563,-1.78E-05,
91158.883,1.044166667,1.12,-34.5,0.608963954,-8.71E-06,
95477.16114,1.0375,1.11,-34,0.586697468,-5.16E-06,
100000,1.038,1.113333333,-36.2,0.608557172,4.83E-06,
