Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
58.05225516,1.11,1.1,3.033333333,-0.078605873,-0.024974684
60.80224262,1.12,1.104,2.965517241,-0.124978986,-0.016863027
63.68249945,1.116666667,1.1,2.962962963,-0.130617343,-0.001957588
66.69919663,1.121666667,1.103333333,2.692307692,-0.143141496,-0.004151611
69.85879747,1.118333333,1.101666667,2.807692308,-0.130421214,0.004025914
73.16807143,1.121666667,1.1,2.931034483,-0.169422574,-0.011785473
76.63410868,1.121666667,1.1,2.066666667,-0.169422574,0
80.26433522,1.118333333,1.098333333,1.896551724,-0.156742111,0.003493022
84.06652886,1.115,1.1,2.142857143,-0.117643645,0.010283134
88.04883582,1.118333333,1.101666667,1.965517241,-0.130421214,-0.003208585
92.21978823,1.118333333,1.098333333,2.153846154,-0.156742111,-0.006310525
96.58832241,1.112,1.1,1.785714286,-0.094242042,0.014306874
101.163798,1.11,1.098,1.827586207,-0.094412773,-3.73E-05
105.9560179,1.108333333,1.0925,2.037037037,-0.124978986,-0.006378299
110.9752496,1.105,1.1,1.888888889,-0.039391857,0.017051838
116.2322469,1.11,1.1,1.892857143,-0.078605873,-0.007459394
121.7382728,1.1175,1.101666667,1.259259259,-0.123946454,-0.00823472
127.5051241,1.111666667,1.11,1.777777778,-0.013032095,0.019233088
133.5451563,1.11,1.1,1.956521739,-0.078605873,-0.010856528
139.8713103,1.108333333,1.106,1.448275862,-0.018305359,0.009531939
146.4971398,1.105,1.106,1.310344828,0.007856979,0.003948538
153.4368409,1.11,1.1,1.703703704,-0.078605873,-0.012459161
160.7052818,1.11,1.1,1.206896552,-0.078605873,2.67E-16
168.3180353,1.115,1.106666667,1.064516129,-0.065160768,0.001766129
176.2914118,1.12,1.101666667,1.166666667,-0.143356271,-0.009807075
184.6424943,1.108333333,1.1,1.172413793,-0.065554195,0.009316406
193.389175,1.115,1.115,0.925925926,0,0.007494751
202.5501939,1.11,1.103333333,0.888888889,-0.052324795,-0.005711679
212.1451785,1.11,1.1,0.962962963,-0.078605873,-0.002739043
222.1946861,1.111666667,1.1,1.230769231,-0.091637967,-0.001296789
232.7202479,1.108333333,1.103333333,0.75,-0.039273117,0.004975017
243.744415,1.106666667,1.1,0.967741935,-0.052482877,-0.001198255
255.2908068,1.101666667,1.1,0.892857143,-0.013150479,0.003406467
267.3841616,1.105,1.1,0.964285714,-0.039391857,-0.002169901
280.0503894,1.106666667,1.1,0.807692308,-0.052482877,-0.001033537
293.3166278,1.1,1.098,0.884615385,-0.015806901,0.00276461
307.2112999,1.105,1.105,1,0,0.001137623
321.764175,1.11,1.1075,0.296296296,-0.019584878,-0.001345774
337.0064329,1.1,1.1,0.230769231,0,0.001284907
352.9707303,1.1,1.1,0.814814815,1.93E-15,1.21E-16
369.6912707,1.103333333,1.1075,0.923076923,0.032739917,0.001958066
387.2038782,1.1,1.095,0.962962963,-0.03957132,-0.004129096
405.5460736,1.104,1.098333333,0.642857143,-0.044698184,-0.000279512
424.7571553,1.103333333,1.101666667,1,-0.013130599,0.001643197
444.8782831,1.106666667,1.1,0.333333333,-0.052482877,-0.001955769
465.9525669,1.111666667,1.1,0.689655172,-0.091637967,-0.001857956
488.0251584,1.108333333,1.096666667,0.206896552,-0.091915034,-1.26E-05
511.1433483,1.108333333,1.098333333,0.178571429,-0.078724614,0.000570565
535.3566677,1.106666667,1.09,0.827586207,-0.131806621,-0.002192265
560.7169938,1.103333333,1.096666667,0.148148148,-0.052641917,0.003121596
587.2786613,1.1,1.096,0.310344828,-0.03164262,0.000790587
615.0985789,1.11,1.095,0.115384615,-0.118177192,-0.003110526
644.2363509,1.096666667,1.096,0,-0.005281782,0.003874538
674.7544053,1.108333333,1.098333333,0.172413793,-0.078724614,-0.002406537
706.7181274,1.108333333,1.096666667,0.666666667,-0.091915034,-0.000412668
740.1959997,1.106666667,1.096666667,0.037037037,-0.078843715,0.000390447
775.2597489,1.105,1.093333333,0.178571429,-0.092193781,-0.000380737
811.9844993,1.105,1.093333333,0.321428571,-0.092193781,0
850.4489342,1.108333333,1.09,0.074074074,-0.14487794,-0.001369685
890.7354639,1.104,1.1,-0.034482759,-0.031527765,0.0028136
932.9304026,1.106,1.095,0.192307692,-0.086820156,-0.001310403
977.1241535,1.11,1.095,0.269230769,-0.118177192,-0.000709536
1023.411402,1.106666667,1.101666667,-0.148148148,-0.039332398,0.00170338
1071.891319,1.108333333,1.091666667,0.068965517,-0.131606906,-0.001903355
1122.667774,1.101666667,1.093333333,0.192307692,-0.065952402,0.001293011
1175.849554,1.105,1.091666667,-0.137931034,-0.105444568,-0.000742588
1231.550603,1.1,1.091666667,0,-0.066052711,0.000707201
1289.890261,1.11,1.09,0.115384615,-0.157929617,-0.001574862
1350.993521,1.105,1.095,0.066666667,-0.078963177,0.001292344
1414.991297,1.1,1.091666667,-0.076923077,-0.066052711,0.000201733
1482.020706,1.101666667,1.086666667,-0.185185185,-0.119077275,-0.000791064
1552.225357,1.106666667,1.09,-0.133333333,-0.131806621,-0.000181318
1625.755666,1.11,1.093333333,-0.115384615,-0.131407796,5.42E-06
1702.769172,1.11,1.09,-0.217391304,-0.157929617,-0.000344379
1783.430877,1.118333333,1.088333333,-0.12,-0.236186778,-0.00097019
1867.913599,1.121666667,1.091666667,-0.807692308,-0.235475285,8.42E-06
1956.398344,1.115,1.094,-0.037037037,-0.165150908,0.000794763
2049.07469,1.116666667,1.09,-0.275862069,-0.209941088,-0.000483297
2146.141198,1.108333333,1.09,-0.68,-0.14487794,0.000670295
2247.805834,1.104,1.088333333,-0.208333333,-0.12414285,0.000203956
2354.286414,1.106666667,1.086666667,-0.846153846,-0.158409673,-0.000321813
2465.811076,1.1,1.088333333,-0.791666667,-0.092615085,0.000589955
2582.618761,1.106666667,1.084,-0.25,-0.179750936,-0.000745977
2704.95973,1.106,1.08,-0.807692308,-0.20662743,-0.000219685
2833.096102,1.103333333,1.088333333,-0.962962963,-0.118896163,0.000684671
2967.302408,1.1,1.08,-0.96,-0.159378593,-0.000301643
3107.866188,1.101666667,1.08,-0.75862069,-0.172529072,-9.36E-05
3255.0886,1.101666667,1.075,-0.928571429,-0.212834897,-0.000273775
3409.28507,1.1,1.08,-0.464285714,-0.159378593,0.000346677
3570.785965,1.105,1.08,-0.296296296,-0.198770451,-0.000243911
3739.937302,1.105,1.076666667,-0.814814815,-0.225620208,-0.000158732
3917.101491,1.1,1.083333333,-0.692307692,-0.132611578,0.000524986
4102.658106,1.103333333,1.0725,-0.75,-0.246188764,-0.000612089
4297.004704,1.103333333,1.075,-0.708333333,-0.225965496,0.000104058
4500.557676,1.1,1.07,-0.76,-0.240178149,-6.98E-05
4713.753134,1.096666667,1.073333333,-0.96,-0.186800525,0.000250369
4937.047853,1.094,1.0775,-0.208333333,-0.132000863,0.000245414
5170.920243,1.096666667,1.076,-0.217391304,-0.165247438,-0.000142157
5415.871378,1.1,1.08,-0.84,-0.159378593,2.40E-05
5672.426068,1.103333333,1.081666667,-0.307692308,-0.172265853,-5.02E-05
5941.133985,1.096666667,1.073666667,-0.777777778,-0.184103463,-4.41E-05
6222.570837,1.106666667,1.08,-1,-0.21186147,-9.86E-05
6517.339605,1.101666667,1.076,-0.913043478,-0.204758755,2.41E-05
6826.071834,1.1,1.075,-1,-0.199684418,1.64E-05
7149.428987,1.098333333,1.08,-1.136363636,-0.146208174,0.000165378
7488.103858,1.098333333,1.08,-0.869565217,-0.146208174,0
7842.822061,1.098333333,1.075,-0.92,-0.186513999,-0.000113628
8214.343585,1.101666667,1.071666667,-0.964285714,-0.239809731,-0.000143453
8603.464417,1.101666667,1.085,-1.04,-0.132409418,0.000276008
9011.018252,1.096666667,1.073333333,-0.88,-0.186800525,-0.000133457
9437.878278,1.096666667,1.071666667,-0.928571429,-0.200298414,-3.16E-05
9884.959047,1.1,1.0718,-1.130434783,-0.225578649,-5.65E-05
10353.21843,1.095,1.08,-1.12,-0.119807274,0.000225882
10843.65969,1.09,1.08,-0.958333333,-0.080054849,8.11E-05
11357.33358,1.096666667,1.07075,-0.888888889,-0.207731203,-0.000248555
11895.34067,1.093333333,1.073,-0.961538462,-0.163057341,8.30E-05
12458.83364,1.088333333,1.082,-1.25,-0.050693402,0.000199406
13049.01978,1.094,1.068333333,-1.724137931,-0.206210857,-0.000263506
13667.16356,1.09,1.076,-1.925925926,-0.112284532,0.000151949
14314.58938,1.09,1.073333333,-1.875,-0.133837619,-3.33E-05
14992.68433,1.09,1.07,-1.625,-0.160854405,-3.98E-05
15702.90125,1.095,1.074,-2.041666667,-0.168196756,-1.03E-05
16446.76178,1.088,1.078333333,-1.894736842,-0.077517302,0.000121904
17225.85965,1.095,1.073333333,-2,-0.173590044,-0.000123313
18041.86409,1.09,1.074,-2.043478261,-0.128444332,5.53E-05
18896.5234,1.088333333,1.069,-2.217391304,-0.155684514,-3.19E-05
19791.66868,1.09,1.080666667,-1.92,-0.074694843,9.05E-05
20729.2178,1.1,1.078333333,-2.875,-0.172793097,-0.000104633
21711.17946,1.09,1.073333333,-3.035714286,-0.133837619,3.97E-05
22739.65752,1.088333333,1.075,-2.68,-0.107069333,2.60E-05
23816.85552,1.09,1.078333333,-3,-0.093469353,1.26E-05
24945.08135,1.091666667,1.076666667,-3.894736842,-0.12017564,-2.37E-05
26126.75226,1.091666667,1.08,-3.166666667,-0.093325882,2.27E-05
27364.39997,1.0875,1.076,-3.863636364,-0.092339886,7.97E-07
28660.67617,1.09,1.08,-4.136363636,-0.080054849,9.48E-06
30018.35814,1.091666667,1.08,-4.166666667,-0.093325882,-9.77E-06
31440.35472,1.09,1.08,-4,-0.080054849,9.33E-06
32929.71255,1.09,1.068,-4.80952381,-0.177104905,-6.52E-05
34489.6226,1.085,1.074,-4.888888889,-0.088509136,5.68E-05
36123.427,1.09,1.08,-5.789473684,-0.080054849,5.17E-06
37834.62617,1.086,1.083333333,-7.235294118,-0.02135438,3.43E-05
39626.88639,1.08,1.08,-7.285714286,0,1.19E-05
41504.04758,1.09,1.08,-7.333333333,-0.080054849,-4.26E-05
43470.13158,1.09,1.085,-8.545454545,-0.039935195,2.04E-05
45529.35075,1.086666667,1.08,-8.05,-0.053451797,-6.56E-06
47686.11698,1.08,1.08,-9.047619048,0,2.48E-05
49945.05116,1.086666667,1.08,-9.6,-0.053451797,-2.37E-05
52310.99308,1.085,1.08,-9.086956522,-0.040119654,5.64E-06
54789.0118,1.085,1.08,-10.04166667,-0.040119654,7.84E-19
57384.41648,1.08,1.0844,-10.88,0.035315068,2.91E-05
60102.76782,1.091666667,1.0825,-9.909090909,-0.073242892,-3.99E-05
62949.8899,1.083333333,1.08,-12,-0.026767015,1.63E-05
65931.88271,1.08,1.085,-12.5,0.040119654,2.24E-05
69055.1352,1.083333333,1.086,-13.2,0.02135438,-6.01E-06
72326.33896,1.083333333,1.085,-13.25,0.013352639,-2.45E-06
75752.50259,1.08,1.088333333,-13.66666667,0.066763508,1.56E-05
79340.96666,1.073333333,1.085,-14.5,0.093902424,7.56E-06
83099.41949,1.074,1.086,-15,0.096510878,6.94E-07
87035.91361,1.09,1.0875,-15,-0.019944646,-2.96E-05
91158.883,1.073333333,1.086666667,-17.10526316,0.107234567,3.08E-05
95477.16114,1.082,1.085,-18,0.024049548,-1.93E-05
100000,1.09,1.083,-19.2,-0.055960826,-1.77E-05
