Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope,
890.7354639,1.068333333,2.11,11.8,5.911513523,-0.003010931,
932.9304026,1.065,2.083333333,11.6,5.828183097,-0.001974892,
977.1241535,1.064333333,2.066666667,11,5.763855419,-0.001455583,
1023.411402,1.063333333,2.043333333,10.9047619,5.673395829,-0.001954309,
1071.891319,1.062,2.02,12,5.584537054,-0.001832899,
1122.667774,1.06075,2.006666667,11.95238095,5.537243922,-0.000931399,
1175.849554,1.063333333,1.99,11.70833333,5.443672961,-0.001759455,
1231.550603,1.0585,1.98,12.25,5.439486558,-7.52E-05,
1289.890261,1.055833333,1.99,13,5.505154151,0.001125608,
1350.993521,1.0585,1.98,12.73913043,5.439486558,-0.001074699,
1414.991297,1.059,1.985,13.83333333,5.45729102,0.000278204,
1482.020706,1.0578,1.993333333,13.6,5.503527332,0.000689791,
1552.225357,1.0626,2.005,14.5,5.514891308,0.000161869,
1625.755666,1.067166667,2.02,15.33333333,5.54238236,0.000373874,
1702.769172,1.063333333,2.043333333,16,5.673395829,0.001701175,
1783.430877,1.065,2.08,16.2,5.814274544,0.001746538,
1867.913599,1.062,2.106666667,15.83333333,5.949426136,0.001599754,
1956.398344,1.0685,2.15,16.625,6.073278668,0.001399705,
2049.07469,1.063333333,2.171666667,17,6.20247474,0.001394057,
2146.141198,1.063166667,2.223333333,19,6.408064549,0.00211803,
2247.805834,1.063333333,2.27,17.15,6.587128577,0.001761321,
2354.286414,1.062,2.333333333,18,6.837045371,0.002347065,
2465.811076,1.071,2.365,16.88235294,6.880833485,0.000392632,
2582.618761,1.062,2.42,17,7.153816985,0.002337034,
2704.95973,1.063333333,2.476666667,16,7.343962614,0.001554227,
2833.096102,1.062,2.533333333,15,7.551356416,0.00161854,
2967.302408,1.062833333,2.581666667,15.23529412,7.708700015,0.001172401,
3107.866188,1.059666667,2.651666667,14.0952381,7.966993121,0.001837551,
3255.0886,1.06,2.696666667,13.8,8.110428033,0.000974274,
3409.28507,1.0585,2.75,12.5,8.292836629,0.001182962,
3570.785965,1.0598,2.796666667,12,8.428335819,0.000839,
3739.937302,1.0536,2.846666667,9.615384615,8.63321708,0.001211231,
3917.101491,1.0598,2.88,8.166666667,8.683371452,0.000283095,
4102.658106,1.053333333,2.916666667,7.62962963,8.846419408,0.000878697,
4297.004704,1.059,2.92,5.052631579,8.809737827,-0.000188743,
4500.557676,1.0605,2.933333333,3.818181818,8.837014892,0.000134005,
4713.753134,1.059,2.94,2.875,8.869027406,0.000150156,
4937.047853,1.053833333,2.94,1.413793103,8.91150798,0.000190244,
5170.920243,1.0515,2.938,0.36,8.924850289,5.70E-05,
5415.871378,1.0535,2.93,-1.047619048,8.884661608,-0.000164068,
5672.426068,1.055,2.93,-2.318181818,8.872303214,-4.82E-05,
5941.133985,1.0555,2.916666667,-2.826086957,8.828571213,-0.000162749,
6222.570837,1.06,2.91,-4.086956522,8.771742474,-0.000201924,
6517.339605,1.059,2.9,-4.608695652,8.750040756,-7.36E-05,
6826.071834,1.055,2.89,-6.125,8.752907662,9.29E-06,
7149.428987,1.0632,2.886666667,-5.75,8.675633387,-0.000238975,
7488.103858,1.052,2.88,-9.086956522,8.747534959,0.000212303,
7842.822061,1.05,2.88,-8.961538462,8.764063774,4.66E-05,
8214.343585,1.052,2.87,-9.1,8.717323138,-0.000125809,
8603.464417,1.054333333,2.876666667,-9.954545455,8.718232076,2.34E-06,
9011.018252,1.057,2.87,-10.2,8.676138189,-0.000103284,
9437.878278,1.055833333,2.873333333,-12.66666667,8.695812845,4.61E-05,
9884.959047,1.054333333,2.863333333,-13.4,8.677879438,-4.01E-05,-4.01E-05
10843.65969,1.0562,2.856666667,-16,8.642268081,-3.71E-05,
11357.33358,1.0465,2.838333333,-17.83333333,8.666483298,4.71E-05,
11895.34067,1.048,2.82,-17.6875,8.597756513,-0.000127743,
12458.83364,1.04975,2.79,-21.83333333,8.490366399,-0.000190579,
13049.01978,1.0458,2.756666667,-24.5,8.418712347,-0.000121409,
13667.16356,1.049666667,2.73,-26.8,8.302224822,-0.000188447,
14314.58938,1.057333333,2.68,-28,8.078457402,-0.000345626,
14992.68433,1.05,2.623333333,-28.33333333,7.953283571,-0.000184596,
15702.90125,1.048,2.576666667,-29.33333333,7.813939131,-0.0001962,
16446.76178,1.052333333,2.512,-31,7.557326158,-0.000344975,
17225.85965,1.0522,2.43,-32.66666667,7.270159523,-0.000368589,
18041.86409,1.05,2.361666667,-34.4,7.040586016,-0.000281339,
18896.5234,1.052,2.31,-35.5,6.831924801,-0.000244145,
19791.66868,1.0542,2.238333333,-35.5,6.540035008,-0.000326081,
20729.2178,1.045666667,2.16,-36,6.301209743,-0.000254734,
21711.17946,1.052,2.083333333,-38.5,5.934860456,-0.000373079,
22739.65752,1.047666667,2.011666667,-38.5,5.666657868,-0.000260776,
23816.85552,1.045,1.934,-39.2,5.346803586,-0.000296932,
24945.08135,1.048833333,1.88,-39,5.069027358,-0.000246206,
26126.75226,1.048,1.823333333,-38,4.810095779,-0.000219123,
27364.39997,1.0535,1.765,-39,4.482203396,-0.000264932,
28660.67617,1.049666667,1.713333333,-39,4.255809167,-0.00017465,
30018.35814,1.05325,1.6525,-39.6,3.912200007,-0.000253085,
31440.35472,1.0465,1.616666667,-40,3.777625024,-9.46E-05,
32929.71255,1.042666667,1.575,-39.5,3.582701369,-0.000130878,
34489.6226,1.045666667,1.53,-39,3.305963337,-0.000177406,
36123.427,1.0465,1.498333333,-39.5,3.117384173,-0.000115423,
37834.62617,1.045666667,1.46,-38.25,2.899191836,-0.000127508,
39626.88639,1.045,1.425,-39,2.693971478,-0.000114504,
41504.04758,1.0522,1.396666667,-37.66666667,2.459889416,-0.0001247,
43470.13158,1.03975,1.36,-37,2.332199587,-6.49E-05,
45529.35075,1.0465,1.338333333,-37,2.136501244,-9.50E-05,
47686.11698,1.03975,1.31,-37,2.006847332,-6.01E-05,
49945.05116,1.040666667,1.285,-37.2,1.831829673,-7.75E-05,
52310.99308,1.043833333,1.266666667,-36.6,1.680623612,-6.39E-05,
54789.0118,1.0435,1.2425,-36.6,1.51607888,-6.64E-05,
57384.41648,1.045333333,1.23,-35.5,1.413006243,-3.97E-05,
60102.76782,1.0436,1.21,-36,1.285025998,-4.71E-05,
62949.8899,1.0465,1.201666667,-34.6,1.200895633,-2.95E-05,
65931.88271,1.045,1.19,-34,1.128613419,-2.42E-05,
69055.1352,1.048,1.173333333,-33.5,0.981202522,-4.72E-05,
72326.33896,1.0415,1.16,-35.6,0.935974299,-1.38E-05,
75752.50259,1.0445,1.15,-33,0.835787921,-2.92E-05,
79340.96666,1.04475,1.1325,-33.25,0.700516617,-3.77E-05,
83099.41949,1.041,1.13,-34,0.712554279,3.20E-06,
87035.91361,1.039166667,1.118333333,-34,0.637721247,-1.90E-05,
91158.883,1.04,1.11,-34,0.56579279,-1.74E-05,
95477.16114,1.041,1.106666667,-34.5,0.531321989,-7.98E-06,
100000,1.040333333,1.098333333,-35.83333333,0.471233005,-1.33E-05,
