Frequency, Vpp 1, Vpp 2, Phase, Ratio, Slope
41.98707084,1.118333333,0.753,-25.33333333,-3.435525872,-0.074464476
43.97603609,1.12,0.732666667,-25.33333333,-3.686231786,-0.126048414
46.05922041,1.12,0.708,-25.25,-3.9836953,-0.1427927
48.24108704,1.12,0.693,-26.5,-4.169695761,-0.085248319
50.52631065,1.116666667,0.674833333,-26,-4.374540519,-0.089638824
52.91978736,1.111666667,0.652333333,-25.33333333,-4.630100252,-0.106773437
55.42664521,1.11,0.637,-27,-4.823670929,-0.077216455
58.05225516,1.116666667,0.620333333,-25,-5.105968678,-0.107517017
60.80224262,1.12,0.604,-24.66666667,-5.363621681,-0.093692428
63.68249945,1.12,0.5902,-24.25,-5.56437635,-0.069700267
66.69919663,1.121666667,0.585,-23,-5.654158955,-0.029761888
69.85879747,1.118333333,0.572,-22.8,-5.82350482,-0.053597234
73.16807143,1.12,0.556,-21,-6.082864622,-0.078373627
76.63410868,1.115,0.5416,-17.5,-6.271924234,-0.05454633
80.26433522,1.111666667,0.541,-17,-6.255546369,0.004511527
84.06652886,1.12,0.529833333,-16.5,-6.501574903,-0.064706998
88.04883582,1.115,0.53125,-14,-6.439518487,0.015583032
92.21978823,1.111666667,0.528,-14,-6.46681322,-0.006544005
96.58832241,1.113333333,0.52,-12.30769231,-6.612437369,-0.033334785
101.163798,1.111666667,0.522333333,-10.96,-6.560536836,0.0113432
105.9560179,1.11,0.5212,-9.826086957,-6.566371435,-0.001217515
110.9752496,1.11,0.524,-8,-6.519833836,0.009271857
116.2322469,1.111666667,0.52875,-6.833333333,-6.454484063,0.012431008
121.7382728,1.11,0.526,-4.952380952,-6.486744693,-0.00585915
127.5051241,1.116666667,0.52875,-4.12,-6.493463439,-0.001165063
133.5451563,1.115,0.538,-3.136363636,-6.329851834,0.027087869
139.8713103,1.115,0.538,-3.035714286,-6.329851834,-2.81E-16
146.4971398,1.11,0.5528,-3.043478261,-6.055098888,0.04146695
153.4368409,1.118333333,0.55475,-2,-6.089479178,-0.004954146
160.7052818,1.118333333,0.56425,-2.166666667,-5.941994041,0.020291165
168.3180353,1.113333333,0.56325,-2.208333333,-5.918480234,0.003088739
176.2914118,1.115,0.5716,-2.041666667,-5.803652945,0.014401338
184.6424943,1.11,0.573,-3.214285714,-5.743367136,0.007218922
193.389175,1.111666667,0.574,-3.173913043,-5.741253823,0.000241613
202.5501939,1.116,0.5736,-3.260869565,-5.781101039,-0.004349649
212.1451785,1.116666667,0.576,-3.958333333,-5.750021378,0.003239157
222.1946861,1.111666667,0.5718,-3.962962963,-5.77460865,-0.002446615
232.7202479,1.113333333,0.5788,-4.857142857,-5.681933793,0.008804742
243.744415,1.11,0.575333333,-5.08,-5.708068843,-0.002370705
255.2908068,1.108333333,0.569666667,-5.28,-5.780991738,-0.006315644
267.3841616,1.11,0.564666667,-5.45,-5.87061655,-0.007411079
280.0503894,1.108333333,0.5692,-5.6875,-5.78811007,0.006513895
293.3166278,1.11,0.5594,-5.727272727,-5.952010335,-0.01235469
307.2112999,1.113333333,0.5594,-8,-5.978055001,-0.001874435
321.764175,1.113333333,0.555333333,-6.206896552,-6.041429395,-0.004354768
337.0064329,1.11,0.54,-6.24137931,-6.258584379,-0.014246904
352.9707303,1.111666667,0.540833333,-5.705882353,-6.258222656,2.27E-05
369.6912707,1.111666667,0.538,-5.230769231,-6.303846157,-0.00272859
387.2038782,1.116666667,0.52475,-5.08,-6.559422101,-0.014593826
405.5460736,1.105,0.520666667,-4.5,-6.536050064,0.001274222
424.7571553,1.113333333,0.518166667,-3.833333333,-6.643114809,-0.005573072
444.8782831,1.103333333,0.5045,-2.782608696,-6.79691137,-0.007643536
465.9525669,1.108333333,0.5078,-1.666666667,-6.779553968,0.00082363
488.0251584,1.106666667,0.505,-1.12,-6.814509017,-0.00158364
511.1433483,1.105,0.505833333,-0.272727273,-6.78709666,0.001185748
535.3566677,1.105,0.499,1,-6.905234648,-0.00487905
560.7169938,1.108333333,0.5038,1.80952381,-6.848244635,0.002247211
587.2786613,1.1,0.506,2.956521739,-6.744843366,0.003892876
615.0985789,1.1,0.5115,3.047619048,-6.650940942,0.003375367
644.2363509,1.106666667,0.519166667,4.125,-6.574200567,0.002633708
674.7544053,1.101666667,0.532,4.857142857,-6.322771536,0.008238698
706.7181274,1.103333333,0.528,7.5,-6.40145633,-0.002461691
740.1959997,1.096666667,0.529666667,5.5,-6.321440015,0.002390125
775.2597489,1.1075,0.5446,8,-6.165321958,0.004452406
811.9844993,1.106666667,0.553,8,-6.025833954,0.003798202
850.4489342,1.1075,0.569,8.227272727,-5.78462937,0.006270847
890.7354639,1.106666667,0.572666667,8.4375,-5.722298484,0.001547189
932.9304026,1.105,0.580333333,7.111111111,-5.593695232,0.003047836
977.1241535,1.103333333,0.585,4.529411765,-5.511017459,0.001870802
1023.411402,1.103333333,0.5936,4.578947368,-5.384256936,0.002738563
1071.891319,1.101666667,0.592,3.730769231,-5.394570048,-0.00021273
1122.667774,1.1,0.601,2.954545455,-5.250364263,0.002840013
1175.849554,1.103333333,0.61,2.791666667,-5.147538081,0.001933485
1231.550603,1.101666667,0.608,1.461538462,-5.162932597,-0.000276377
1289.890261,1.103333333,0.6116,0.185185185,-5.124785246,0.000653884
1350.993521,1.1,0.613,-0.730769231,-5.078644213,0.000755132
1414.991297,1.106666667,0.6125,-1.045454545,-5.138214719,-0.000930822
1482.020706,1.101666667,0.606,-2.035714286,-5.191551699,-0.000795725
1552.225357,1.11,0.607,-2.80952381,-5.242685754,-0.000728357
1625.755666,1.11,0.61,-4,-5.199862876,0.000582384
1702.769172,1.111666667,0.6,-4.636363636,-5.356466663,-0.002033459
1783.430877,1.11,0.601,-5.75,-5.328970136,0.000340887
1867.913599,1.108333333,0.596,-8,-5.388482704,-0.000704435
1956.398344,1.098333333,0.586,-9.214285714,-5.456730964,-0.0007713
2049.07469,1.11,0.5812,-9,-5.619947463,-0.001761145
2146.141198,1.118333333,0.569,-10,-5.869180068,-0.002567648
2247.805834,1.11,0.566,-10.68181818,-5.850130952,0.000187372
2354.286414,1.11,0.56225,-10.76470588,-5.907870294,-0.000542252
2465.811076,1.1075,0.53375,-11.4,-6.340116937,-0.003875794
2582.618761,1.106666667,0.5354,-12.125,-6.306769243,0.000285492
2704.95973,1.11,0.525,-10.90909091,-6.503273508,-0.001606202
2833.096102,1.104,0.5138,-11,-6.643499469,-0.001094349
2967.302408,1.103333333,0.5048,-9.904761905,-6.791747856,-0.001104631
3107.866188,1.1075,0.4904,-10.77272727,-7.075865468,-0.002021272
3255.0886,1.101666667,0.486,-9,-7.108278797,-0.000220166
3409.28507,1.11,0.4764,-9.176470588,-7.34702452,-0.001548322
3570.785965,1.103333333,0.4715,-7.153846154,-7.38450084,-0.00023205
3739.937302,1.105,0.4625,-5.730769231,-7.565010819,-0.001067151
3917.101491,1.101666667,0.4635,-5.052631579,-7.520009412,0.00025401
4102.658106,1.103333333,0.458,-4.043478261,-7.636825221,-0.000629543
4297.004704,1.103333333,0.464,-2.666666667,-7.52377517,0.000581693
4500.557676,1.088333333,0.456,-1.863636364,-7.555941765,-0.000158026
4713.753134,1.106,0.4555,0.08,-7.705334913,-0.000700733
4937.047853,1.103333333,0.453,1,-7.732170741,-0.000120181
5170.920243,1.098333333,0.4566,2.055555556,-7.623965141,0.000462669
5415.871378,1.1,0.4482,2.782608696,-7.798416659,-0.000712189
5672.426068,1.095,0.451,3.25,-7.704751546,0.000365088
5941.133985,1.098333333,0.461,4.208333333,-7.540664776,0.000610651
6222.570837,1.095,0.464,5,-7.457922772,0.000293998
6517.339605,1.101666667,0.46625,4.8,-7.468627286,-3.63E-05
6826.071834,1.1,0.461,6.037037037,-7.553835195,-0.000275993
7149.428987,1.096666667,0.4684,6.24137931,-7.389155137,0.000509282
7488.103858,1.091666667,0.45675,8.090909091,-7.568229872,-0.000528751
7842.822061,1.093333333,0.45075,7,-7.696337072,-0.000361152
8214.343585,1.091666667,0.4575,8.8,-7.553979024,0.000383176
8603.464417,1.096666667,0.4555,10.27777778,-7.631725238,-0.0001998
9011.018252,1.09,0.461,10.4,-7.474511451,0.00038575
9437.878278,1.0725,0.4565,11.8,-7.41913038,0.000129741
9884.959047,1.09,0.45275,13.2173913,-7.631360779,-0.000474703
10353.21843,1.094,0.4655,12.44444444,-7.421952734,0.000447205
10843.65969,1.093333333,0.457666667,14.15789474,-7.564066129,-0.000289766
11357.33358,1.088333333,0.465666667,15.6,-7.37373559,0.000370528
11895.34067,1.1,0.4652,17.4,-7.475059582,-0.000188332
12458.83364,1.098333333,0.473833333,18.83333333,-7.302171098,0.000306816
13049.01978,1.092,0.4804,20.6,-7.132392793,0.000287669
13667.16356,1.093333333,0.478,22.2,-7.186493848,-8.75E-05
14314.58938,1.098333333,0.477,23.75,-7.244315703,-8.93E-05
14992.68433,1.093333333,0.488,22.84615385,-7.00665534,0.000350482
15702.90125,1.093333333,0.495,23.4,-6.882947801,0.000174183
16446.76178,1.1,0.504,26.4,-6.779242974,0.000139414
17225.85965,1.1,0.515,26.75,-6.591709122,0.000240706
18041.86409,1.096,0.521,27,-6.459456617,0.000162073
18896.5234,1.096666667,0.540333333,28,-6.148257662,0.00036412
19791.66868,1.095,0.5568,29,-5.874297851,0.000306051
20729.2178,1.096,0.57,30.5,-5.67871397,0.000208612
21711.17946,1.09,0.5786,30.5,-5.500961373,0.000181018
22739.65752,1.09,0.596,30.75,-5.243604764,0.000250231
23816.85552,1.093333333,0.621333333,30.4,-4.908558714,0.000311035
24945.08135,1.095,0.632333333,30.5,-4.76936086,0.000123378
26126.75226,1.093333333,0.65775,30,-4.413834645,0.000300867
27364.39997,1.091666667,0.664,29,-4.318439405,7.71E-05
28660.67617,1.0825,0.6936,31,-3.866376411,0.00034874
30018.35814,1.091666667,0.7118,29,-3.714641319,0.00011176
31440.35472,1.09,0.722166667,28.5,-3.575781186,9.77E-05
32929.71255,1.086666667,0.74,27,-3.337292512,0.000160129
34489.6226,1.09,0.76,27.13636364,-3.132258113,0.00013144
36123.427,1.096,0.77825,26.66666667,-2.973828496,9.70E-05
37834.62617,1.088333333,0.7906,25,-2.776102418,0.000115548
39626.88639,1.09,0.80975,23.66666667,-2.581510825,0.000108573
41504.04758,1.084,0.8285,23.5,-2.334735389,0.000131462
43470.13158,1.085,0.842666667,22.5,-2.195478466,7.08E-05
45529.35075,1.09,0.852,20.5,-2.139738063,2.71E-05
47686.11698,1.086666667,0.873,18.8,-1.901642033,0.000110395
49945.05116,1.09,0.877,18.28571429,-1.888538091,5.80E-06
52310.99308,1.09,0.9002,17,-1.661749787,9.59E-05
54789.0118,1.093333333,0.91125,16,-1.582300953,3.21E-05
57384.41648,1.085,0.915,14.33333333,-1.480172882,3.93E-05
60102.76782,1.09,0.925,13.13043478,-1.425695304,2.00E-05
62949.8899,1.084,0.938,12.08695652,-1.256528876,5.94E-05
65931.88271,1.085,0.9598,11.13636364,-1.064979852,6.42E-05
69055.1352,1.09,0.9655,9.142857143,-1.053484397,3.68E-06
72326.33896,1.08,0.9822,7.931034483,-0.824476514,7.00E-05
75752.50259,1.083333333,0.988,5.888888889,-0.800103233,7.11E-06
79340.96666,1.086666667,0.997,4.25,-0.748023741,1.45E-05
83099.41949,1.086,1.008166667,2.875,-0.645949823,2.72E-05
87035.91361,1.083333333,1.01,1.761904762,-0.60881465,9.43E-06
91158.883,1.08,1.0185,0.238095238,-0.509254443,2.41E-05
95477.16114,1.075,1.017,-2,-0.481750227,6.37E-06
100000,1.075,1.02,-2.705882353,-0.45616585,5.66E-06
