vdm	V(vout)
2.500000000000000e-002	3.184568e+000
Step Information: Run=9  (Run: 9/100)
0.000000000000000e+000	-1.317564e-002
2.500000000000000e-003	3.065536e-001
5.000000000000000e-003	6.263623e-001
7.500000000000000e-003	9.461710e-001
1.000000000000000e-002	1.265980e+000
1.250000000000000e-002	1.585788e+000
1.500000000000000e-002	1.905597e+000
1.750000000000000e-002	2.225406e+000
2.000000000000000e-002	2.545214e+000
2.250000000000000e-002	2.865023e+000
2.500000000000000e-002	3.184832e+000
Step Information: Run=10  (Run: 10/100)
0.000000000000000e+000	-2.316104e-003
2.500000000000000e-003	3.171825e-001
5.000000000000000e-003	6.367465e-001
7.500000000000000e-003	9.563106e-001
1.000000000000000e-002	1.275875e+000
1.250000000000000e-002	1.595439e+000
1.500000000000000e-002	1.915003e+000
1.750000000000000e-002	2.234567e+000
2.000000000000000e-002	2.554131e+000
2.250000000000000e-002	2.873695e+000
2.500000000000000e-002	3.193259e+000
Step Information: Run=11  (Run: 11/100)
0.000000000000000e+000	-1.661873e-002
2.500000000000000e-003	2.988487e-001
5.000000000000000e-003	6.143993e-001
7.500000000000000e-003	9.299499e-001
1.000000000000000e-002	1.245500e+000
1.250000000000000e-002	1.561051e+000
1.500000000000000e-002	1.876602e+000
1.750000000000000e-002	2.192152e+000
2.000000000000000e-002	2.507703e+000
2.250000000000000e-002	2.823253e+000
2.500000000000000e-002	3.138804e+000
Step Information: Run=12  (Run: 12/100)
0.000000000000000e+000	-9.317540e-003
2.500000000000000e-003	3.106557e-001
5.000000000000000e-003	6.307033e-001
7.500000000000000e-003	9.507510e-001
1.000000000000000e-002	1.270799e+000
1.250000000000000e-002	1.590846e+000
1.500000000000000e-002	1.910894e+000
1.750000000000000e-002	2.230942e+000
2.000000000000000e-002	2.550989e+000
2.250000000000000e-002	2.871037e+000
2.500000000000000e-002	3.191084e+000
Step Information: Run=13  (Run: 13/100)
0.000000000000000e+000	-1.297708e-002
2.500000000000000e-003	3.046442e-001
5.000000000000000e-003	6.223443e-001
7.500000000000000e-003	9.400443e-001
1.000000000000000e-002	1.257744e+000
1.250000000000000e-002	1.575444e+000
1.500000000000000e-002	1.893144e+000
1.750000000000000e-002	2.210844e+000
2.000000000000000e-002	2.528544e+000
2.250000000000000e-002	2.846244e+000
2.500000000000000e-002	3.163944e+000
Step Information: Run=14  (Run: 14/100)
0.000000000000000e+000	-1.556864e-002
2.500000000000000e-003	3.024093e-001
5.000000000000000e-003	6.204695e-001
7.500000000000000e-003	9.385297e-001
1.000000000000000e-002	1.256590e+000
1.250000000000000e-002	1.574650e+000
1.500000000000000e-002	1.892710e+000
1.750000000000000e-002	2.210771e+000
2.000000000000000e-002	2.528831e+000
2.250000000000000e-002	2.846891e+000
2.500000000000000e-002	3.164951e+000
Step Information: Run=15  (Run: 15/100)
0.000000000000000e+000	-2.629326e-003
2.500000000000000e-003	3.172188e-001
5.000000000000000e-003	6.371326e-001
7.500000000000000e-003	9.570465e-001
1.000000000000000e-002	1.276960e+000
1.250000000000000e-002	1.596874e+000
1.500000000000000e-002	1.916788e+000
1.750000000000000e-002	2.236702e+000
2.000000000000000e-002	2.556616e+000
2.250000000000000e-002	2.876530e+000
2.500000000000000e-002	3.196444e+000
Step Information: Run=16  (Run: 16/100)
0.000000000000000e+000	1.656224e-002
2.500000000000000e-003	3.333795e-001
5.000000000000000e-003	6.502406e-001
7.500000000000000e-003	9.671017e-001
1.000000000000000e-002	1.283963e+000
1.250000000000000e-002	1.600824e+000
1.500000000000000e-002	1.917685e+000
1.750000000000000e-002	2.234546e+000
2.000000000000000e-002	2.551407e+000
2.250000000000000e-002	2.868268e+000
2.500000000000000e-002	3.185129e+000
Step Information: Run=17  (Run: 17/100)
0.000000000000000e+000	-1.803020e-002
2.500000000000000e-003	3.000860e-001
5.000000000000000e-003	6.182880e-001
7.500000000000000e-003	9.364901e-001
1.000000000000000e-002	1.254692e+000
1.250000000000000e-002	1.572894e+000
1.500000000000000e-002	1.891096e+000
1.750000000000000e-002	2.209298e+000
2.000000000000000e-002	2.527500e+000
2.250000000000000e-002	2.845702e+000
2.500000000000000e-002	3.163904e+000
Step Information: Run=18  (Run: 18/100)
0.000000000000000e+000	1.380813e-002
2.500000000000000e-003	3.306718e-001
5.000000000000000e-003	6.475822e-001
7.500000000000000e-003	9.644926e-001
1.000000000000000e-002	1.281403e+000
1.250000000000000e-002	1.598313e+000
1.500000000000000e-002	1.915224e+000
1.750000000000000e-002	2.232134e+000
2.000000000000000e-002	2.549044e+000
2.250000000000000e-002	2.865955e+000
2.500000000000000e-002	3.182865e+000
Step Information: Run=19  (Run: 19/100)
0.000000000000000e+000	9.725482e-003
2.500000000000000e-003	3.336556e-001
5.000000000000000e-003	6.576378e-001
7.500000000000000e-003	9.816201e-001
1.000000000000000e-002	1.305602e+000
1.250000000000000e-002	1.629585e+000
1.500000000000000e-002	1.953567e+000
1.750000000000000e-002	2.277549e+000
2.000000000000000e-002	2.601531e+000
2.250000000000000e-002	2.925514e+000
2.500000000000000e-002	3.249496e+000
Step Information: Run=20  (Run: 20/100)
0.000000000000000e+000	-1.454836e-002
2.500000000000000e-003	3.026128e-001
5.000000000000000e-003	6.198546e-001
7.500000000000000e-003	9.370964e-001
1.000000000000000e-002	1.254338e+000
1.250000000000000e-002	1.571580e+000
1.500000000000000e-002	1.888822e+000
1.750000000000000e-002	2.206064e+000
2.000000000000000e-002	2.523306e+000
2.250000000000000e-002	2.840547e+000
2.500000000000000e-002	3.157789e+000
Step Information: Run=21  (Run: 21/100)
0.000000000000000e+000	-1.928032e-003
2.500000000000000e-003	3.192551e-001
5.000000000000000e-003	6.405034e-001
7.500000000000000e-003	9.617518e-001
1.000000000000000e-002	1.283000e+000
1.250000000000000e-002	1.604249e+000
1.500000000000000e-002	1.925497e+000
1.750000000000000e-002	2.246745e+000
2.000000000000000e-002	2.567993e+000
2.250000000000000e-002	2.889242e+000
2.500000000000000e-002	3.210490e+000
Step Information: Run=22  (Run: 22/100)
0.000000000000000e+000	1.929139e-003
2.500000000000000e-003	3.227917e-001
5.000000000000000e-003	6.437148e-001
7.500000000000000e-003	9.646379e-001
1.000000000000000e-002	1.285561e+000
1.250000000000000e-002	1.606484e+000
1.500000000000000e-002	1.927407e+000
1.750000000000000e-002	2.248330e+000
2.000000000000000e-002	2.569253e+000
2.250000000000000e-002	2.890176e+000
2.500000000000000e-002	3.211099e+000
Step Information: Run=23  (Run: 23/100)
0.000000000000000e+000	6.703674e-003
2.500000000000000e-003	3.240759e-001
5.000000000000000e-003	6.415026e-001
7.500000000000000e-003	9.589292e-001
1.000000000000000e-002	1.276356e+000
1.250000000000000e-002	1.593782e+000
1.500000000000000e-002	1.911209e+000
1.750000000000000e-002	2.228636e+000
2.000000000000000e-002	2.546062e+000
2.250000000000000e-002	2.863489e+000
2.500000000000000e-002	3.180916e+000
Step Information: Run=24  (Run: 24/100)
0.000000000000000e+000	-5.628986e-003
2.500000000000000e-003	3.130746e-001
5.000000000000000e-003	6.318476e-001
7.500000000000000e-003	9.506207e-001
1.000000000000000e-002	1.269394e+000
1.250000000000000e-002	1.588167e+000
1.500000000000000e-002	1.906940e+000
1.750000000000000e-002	2.225713e+000
2.000000000000000e-002	2.544486e+000
2.250000000000000e-002	2.863259e+000
2.500000000000000e-002	3.182032e+000
Step Information: Run=25  (Run: 25/100)
0.000000000000000e+000	-1.217097e-002
2.500000000000000e-003	3.028694e-001
5.000000000000000e-003	6.179867e-001
7.500000000000000e-003	9.331042e-001
1.000000000000000e-002	1.248222e+000
1.250000000000000e-002	1.563339e+000
1.500000000000000e-002	1.878456e+000
1.750000000000000e-002	2.193574e+000
2.000000000000000e-002	2.508691e+000
2.250000000000000e-002	2.823808e+000
2.500000000000000e-002	3.138926e+000
Step Information: Run=26  (Run: 26/100)
0.000000000000000e+000	7.277929e-003
2.500000000000000e-003	3.238810e-001
5.000000000000000e-003	6.405377e-001
7.500000000000000e-003	9.571944e-001
1.000000000000000e-002	1.273851e+000
1.250000000000000e-002	1.590508e+000
1.500000000000000e-002	1.907165e+000
1.750000000000000e-002	2.223821e+000
2.000000000000000e-002	2.540478e+000
2.250000000000000e-002	2.857135e+000
2.500000000000000e-002	3.173792e+000
Step Information: Run=27  (Run: 27/100)
0.000000000000000e+000	1.804228e-002
2.500000000000000e-003	3.341024e-001
5.000000000000000e-003	6.502048e-001
7.500000000000000e-003	9.663073e-001
1.000000000000000e-002	1.282410e+000
1.250000000000000e-002	1.598512e+000
1.500000000000000e-002	1.914615e+000
1.750000000000000e-002	2.230717e+000
2.000000000000000e-002	2.546819e+000
2.250000000000000e-002	2.862922e+000
2.500000000000000e-002	3.179024e+000
Step Information: Run=28  (Run: 28/100)
0.000000000000000e+000	3.578582e-003
2.500000000000000e-003	3.200024e-001
5.000000000000000e-003	6.364840e-001
7.500000000000000e-003	9.529656e-001
1.000000000000000e-002	1.269447e+000
1.250000000000000e-002	1.585929e+000
1.500000000000000e-002	1.902410e+000
1.750000000000000e-002	2.218892e+000
2.000000000000000e-002	2.535373e+000
2.250000000000000e-002	2.851855e+000
2.500000000000000e-002	3.168337e+000
Step Information: Run=29  (Run: 29/100)
0.000000000000000e+000	1.077346e-002
2.500000000000000e-003	3.340448e-001
5.000000000000000e-003	6.573669e-001
7.500000000000000e-003	9.806890e-001
1.000000000000000e-002	1.304011e+000
1.250000000000000e-002	1.627333e+000
1.500000000000000e-002	1.950655e+000
1.750000000000000e-002	2.273978e+000
2.000000000000000e-002	2.597300e+000
2.250000000000000e-002	2.920622e+000
2.500000000000000e-002	3.243944e+000
Step Information: Run=30  (Run: 30/100)
0.000000000000000e+000	6.289810e-003
2.500000000000000e-003	3.248330e-001
5.000000000000000e-003	6.434312e-001
7.500000000000000e-003	9.620295e-001
1.000000000000000e-002	1.280628e+000
1.250000000000000e-002	1.599226e+000
1.500000000000000e-002	1.917824e+000
1.750000000000000e-002	2.236423e+000
2.000000000000000e-002	2.555021e+000
2.250000000000000e-002	2.873619e+000
2.500000000000000e-002	3.192217e+000
Step Information: Run=31  (Run: 31/100)
0.000000000000000e+000	-9.736087e-003
2.500000000000000e-003	3.100337e-001
5.000000000000000e-003	6.298784e-001
7.500000000000000e-003	9.497231e-001
1.000000000000000e-002	1.269568e+000
1.250000000000000e-002	1.589412e+000
1.500000000000000e-002	1.909257e+000
1.750000000000000e-002	2.229102e+000
2.000000000000000e-002	2.548946e+000
2.250000000000000e-002	2.868791e+000
2.500000000000000e-002	3.188636e+000
Step Information: Run=32  (Run: 32/100)
0.000000000000000e+000	-1.484859e-002
2.500000000000000e-003	3.010921e-001
5.000000000000000e-003	6.171136e-001
7.500000000000000e-003	9.331352e-001
1.000000000000000e-002	1.249157e+000
1.250000000000000e-002	1.565178e+000
1.500000000000000e-002	1.881200e+000
1.750000000000000e-002	2.197221e+000
2.000000000000000e-002	2.513243e+000
2.250000000000000e-002	2.829264e+000
2.500000000000000e-002	3.145286e+000
Step Information: Run=33  (Run: 33/100)
0.000000000000000e+000	6.671947e-003
2.500000000000000e-003	3.230492e-001
5.000000000000000e-003	6.394807e-001
7.500000000000000e-003	9.559122e-001
1.000000000000000e-002	1.272344e+000
1.250000000000000e-002	1.588775e+000
1.500000000000000e-002	1.905207e+000
1.750000000000000e-002	2.221638e+000
2.000000000000000e-002	2.538070e+000
2.250000000000000e-002	2.854501e+000
2.500000000000000e-002	3.170933e+000
Step Information: Run=34  (Run: 34/100)
0.000000000000000e+000	-7.456838e-003
2.500000000000000e-003	3.105952e-001
5.000000000000000e-003	6.287187e-001
7.500000000000000e-003	9.468422e-001
1.000000000000000e-002	1.264966e+000
1.250000000000000e-002	1.583089e+000
1.500000000000000e-002	1.901213e+000
1.750000000000000e-002	2.219336e+000
2.000000000000000e-002	2.537460e+000
2.250000000000000e-002	2.855583e+000
2.500000000000000e-002	3.173707e+000
Step Information: Run=35  (Run: 35/100)
0.000000000000000e+000	-1.306046e-002
2.500000000000000e-003	3.091540e-001
5.000000000000000e-003	6.314484e-001
7.500000000000000e-003	9.537428e-001
1.000000000000000e-002	1.276037e+000
1.250000000000000e-002	1.598332e+000
1.500000000000000e-002	1.920626e+000
1.750000000000000e-002	2.242920e+000
2.000000000000000e-002	2.565215e+000
2.250000000000000e-002	2.887509e+000
2.500000000000000e-002	3.209804e+000
Step Information: Run=36  (Run: 36/100)
0.000000000000000e+000	-3.855163e-003
2.500000000000000e-003	3.206755e-001
5.000000000000000e-003	6.452745e-001
7.500000000000000e-003	9.698735e-001
1.000000000000000e-002	1.294473e+000
1.250000000000000e-002	1.619072e+000
1.500000000000000e-002	1.943671e+000
1.750000000000000e-002	2.268270e+000
2.000000000000000e-002	2.592869e+000
2.250000000000000e-002	2.917468e+000
2.500000000000000e-002	3.242067e+000
Step Information: Run=37  (Run: 37/100)
0.000000000000000e+000	7.883251e-003
2.500000000000000e-003	3.293775e-001
5.000000000000000e-003	6.509255e-001
7.500000000000000e-003	9.724736e-001
1.000000000000000e-002	1.294022e+000
1.250000000000000e-002	1.615570e+000
1.500000000000000e-002	1.937118e+000
1.750000000000000e-002	2.258666e+000
2.000000000000000e-002	2.580214e+000
2.250000000000000e-002	2.901762e+000
2.500000000000000e-002	3.223310e+000
Step Information: Run=38  (Run: 38/100)
0.000000000000000e+000	-5.972353e-003
2.500000000000000e-003	3.167466e-001
5.000000000000000e-003	6.395363e-001
7.500000000000000e-003	9.623259e-001
1.000000000000000e-002	1.285115e+000
1.250000000000000e-002	1.607905e+000
1.500000000000000e-002	1.930695e+000
1.750000000000000e-002	2.253484e+000
2.000000000000000e-002	2.576274e+000
2.250000000000000e-002	2.899064e+000
2.500000000000000e-002	3.221853e+000
Step Information: Run=39  (Run: 39/100)
0.000000000000000e+000	4.319133e-003
2.500000000000000e-003	3.237620e-001
5.000000000000000e-003	6.432623e-001
7.500000000000000e-003	9.627627e-001
1.000000000000000e-002	1.282263e+000
1.250000000000000e-002	1.601763e+000
1.500000000000000e-002	1.921264e+000
1.750000000000000e-002	2.240764e+000
2.000000000000000e-002	2.560264e+000
2.250000000000000e-002	2.879765e+000
2.500000000000000e-002	3.199265e+000
Step Information: Run=40  (Run: 40/100)
0.000000000000000e+000	1.155610e-002
2.500000000000000e-003	3.314738e-001
5.000000000000000e-003	6.514410e-001
7.500000000000000e-003	9.714083e-001
1.000000000000000e-002	1.291376e+000
1.250000000000000e-002	1.611343e+000
1.500000000000000e-002	1.931310e+000
1.750000000000000e-002	2.251277e+000
2.000000000000000e-002	2.571244e+000
2.250000000000000e-002	2.891212e+000
2.500000000000000e-002	3.211179e+000
Step Information: Run=41  (Run: 41/100)
0.000000000000000e+000	8.670307e-003
2.500000000000000e-003	3.301575e-001
5.000000000000000e-003	6.516976e-001
7.500000000000000e-003	9.732378e-001
1.000000000000000e-002	1.294778e+000
1.250000000000000e-002	1.616318e+000
1.500000000000000e-002	1.937858e+000
1.750000000000000e-002	2.259398e+000
2.000000000000000e-002	2.580938e+000
2.250000000000000e-002	2.902478e+000
2.500000000000000e-002	3.224019e+000
Step Information: Run=42  (Run: 42/100)
0.000000000000000e+000	6.858906e-003
2.500000000000000e-003	3.246959e-001
5.000000000000000e-003	6.425872e-001
7.500000000000000e-003	9.604786e-001
1.000000000000000e-002	1.278370e+000
1.250000000000000e-002	1.596261e+000
1.500000000000000e-002	1.914153e+000
1.750000000000000e-002	2.232044e+000
2.000000000000000e-002	2.549935e+000
2.250000000000000e-002	2.867826e+000
2.500000000000000e-002	3.185718e+000
Step Information: Run=43  (Run: 43/100)
0.000000000000000e+000	3.340003e-003
2.500000000000000e-003	3.230703e-001
5.000000000000000e-003	6.428592e-001
7.500000000000000e-003	9.626481e-001
1.000000000000000e-002	1.282437e+000
1.250000000000000e-002	1.602226e+000
1.500000000000000e-002	1.922015e+000
1.750000000000000e-002	2.241804e+000
2.000000000000000e-002	2.561593e+000
2.250000000000000e-002	2.881382e+000
2.500000000000000e-002	3.201170e+000
Step Information: Run=44  (Run: 44/100)
0.000000000000000e+000	1.077014e-002
2.500000000000000e-003	3.281947e-001
5.000000000000000e-003	6.456692e-001
7.500000000000000e-003	9.631438e-001
1.000000000000000e-002	1.280618e+000
1.250000000000000e-002	1.598093e+000
1.500000000000000e-002	1.915567e+000
1.750000000000000e-002	2.233042e+000
2.000000000000000e-002	2.550516e+000
2.250000000000000e-002	2.867991e+000
2.500000000000000e-002	3.185466e+000
Step Information: Run=45  (Run: 45/100)
0.000000000000000e+000	1.959801e-002
2.500000000000000e-003	3.405278e-001
5.000000000000000e-003	6.614989e-001
7.500000000000000e-003	9.824701e-001
1.000000000000000e-002	1.303441e+000
1.250000000000000e-002	1.624412e+000
1.500000000000000e-002	1.945384e+000
1.750000000000000e-002	2.266355e+000
2.000000000000000e-002	2.587326e+000
2.250000000000000e-002	2.908297e+000
2.500000000000000e-002	3.229268e+000
Step Information: Run=46  (Run: 46/100)
0.000000000000000e+000	1.131841e-002
2.500000000000000e-003	3.299499e-001
5.000000000000000e-003	6.486309e-001
7.500000000000000e-003	9.673119e-001
1.000000000000000e-002	1.285993e+000
1.250000000000000e-002	1.604674e+000
1.500000000000000e-002	1.923355e+000
1.750000000000000e-002	2.242036e+000
2.000000000000000e-002	2.560717e+000
2.250000000000000e-002	2.879398e+000
2.500000000000000e-002	3.198079e+000
Step Information: Run=47  (Run: 47/100)
0.000000000000000e+000	-1.721495e-002
2.500000000000000e-003	3.031880e-001
5.000000000000000e-003	6.236762e-001
7.500000000000000e-003	9.441644e-001
1.000000000000000e-002	1.264653e+000
1.250000000000000e-002	1.585141e+000
1.500000000000000e-002	1.905629e+000
1.750000000000000e-002	2.226117e+000
2.000000000000000e-002	2.546605e+000
2.250000000000000e-002	2.867094e+000
2.500000000000000e-002	3.187582e+000
Step Information: Run=48  (Run: 48/100)
0.000000000000000e+000	-7.392212e-003
2.500000000000000e-003	3.121371e-001
5.000000000000000e-003	6.317381e-001
7.500000000000000e-003	9.513391e-001
1.000000000000000e-002	1.270940e+000
1.250000000000000e-002	1.590541e+000
1.500000000000000e-002	1.910142e+000
1.750000000000000e-002	2.229743e+000
2.000000000000000e-002	2.549344e+000
2.250000000000000e-002	2.868945e+000
2.500000000000000e-002	3.188546e+000
Step Information: Run=49  (Run: 49/100)
0.000000000000000e+000	-9.579824e-003
2.500000000000000e-003	3.105486e-001
5.000000000000000e-003	6.307518e-001
7.500000000000000e-003	9.509550e-001
1.000000000000000e-002	1.271158e+000
1.250000000000000e-002	1.591361e+000
1.500000000000000e-002	1.911565e+000
1.750000000000000e-002	2.231768e+000
2.000000000000000e-002	2.551971e+000
2.250000000000000e-002	2.872174e+000
2.500000000000000e-002	3.192378e+000
Step Information: Run=50  (Run: 50/100)
0.000000000000000e+000	1.967000e-002
2.500000000000000e-003	3.386703e-001
5.000000000000000e-003	6.577117e-001
7.500000000000000e-003	9.767531e-001
1.000000000000000e-002	1.295794e+000
1.250000000000000e-002	1.614836e+000
1.500000000000000e-002	1.933877e+000
1.750000000000000e-002	2.252918e+000
2.000000000000000e-002	2.571960e+000
2.250000000000000e-002	2.891001e+000
2.500000000000000e-002	3.210043e+000
Step Information: Run=51  (Run: 51/100)
0.000000000000000e+000	2.089914e-002
2.500000000000000e-003	3.453314e-001
5.000000000000000e-003	6.698042e-001
7.500000000000000e-003	9.942771e-001
1.000000000000000e-002	1.318750e+000
1.250000000000000e-002	1.643223e+000
1.500000000000000e-002	1.967695e+000
1.750000000000000e-002	2.292168e+000
2.000000000000000e-002	2.616641e+000
2.250000000000000e-002	2.941114e+000
2.500000000000000e-002	3.265587e+000
Step Information: Run=52  (Run: 52/100)
0.000000000000000e+000	2.262493e-003
2.500000000000000e-003	3.220206e-001
5.000000000000000e-003	6.418386e-001
7.500000000000000e-003	9.616566e-001
1.000000000000000e-002	1.281475e+000
1.250000000000000e-002	1.601293e+000
1.500000000000000e-002	1.921111e+000
1.750000000000000e-002	2.240929e+000
2.000000000000000e-002	2.560747e+000
2.250000000000000e-002	2.880565e+000
2.500000000000000e-002	3.200383e+000
Step Information: Run=53  (Run: 53/100)
0.000000000000000e+000	-1.455645e-002
2.500000000000000e-003	3.040734e-001
5.000000000000000e-003	6.227843e-001
7.500000000000000e-003	9.414952e-001
1.000000000000000e-002	1.260206e+000
1.250000000000000e-002	1.578917e+000
1.500000000000000e-002	1.897628e+000
1.750000000000000e-002	2.216339e+000
2.000000000000000e-002	2.535050e+000
2.250000000000000e-002	2.853761e+000
2.500000000000000e-002	3.172472e+000
Step Information: Run=54  (Run: 54/100)
0.000000000000000e+000	-5.883865e-003
2.500000000000000e-003	3.124410e-001
5.000000000000000e-003	6.308354e-001
7.500000000000000e-003	9.492298e-001
1.000000000000000e-002	1.267624e+000
1.250000000000000e-002	1.586019e+000
1.500000000000000e-002	1.904413e+000
1.750000000000000e-002	2.222808e+000
2.000000000000000e-002	2.541202e+000
2.250000000000000e-002	2.859596e+000
2.500000000000000e-002	3.177991e+000
Step Information: Run=55  (Run: 55/100)
0.000000000000000e+000	1.103871e-002
2.500000000000000e-003	3.337034e-001
5.000000000000000e-003	6.564186e-001
7.500000000000000e-003	9.791338e-001
1.000000000000000e-002	1.301849e+000
1.250000000000000e-002	1.624564e+000
1.500000000000000e-002	1.947279e+000
1.750000000000000e-002	2.269994e+000
2.000000000000000e-002	2.592710e+000
2.250000000000000e-002	2.915425e+000
2.500000000000000e-002	3.238140e+000
Step Information: Run=56  (Run: 56/100)
0.000000000000000e+000	7.938888e-004
2.500000000000000e-003	3.226570e-001
5.000000000000000e-003	6.445823e-001
7.500000000000000e-003	9.665074e-001
1.000000000000000e-002	1.288433e+000
1.250000000000000e-002	1.610358e+000
1.500000000000000e-002	1.932283e+000
1.750000000000000e-002	2.254208e+000
2.000000000000000e-002	2.576133e+000
2.250000000000000e-002	2.898059e+000
2.500000000000000e-002	3.219984e+000
Step Information: Run=57  (Run: 57/100)
0.000000000000000e+000	7.451594e-003
2.500000000000000e-003	3.280832e-001
5.000000000000000e-003	6.487688e-001
7.500000000000000e-003	9.694545e-001
1.000000000000000e-002	1.290140e+000
1.250000000000000e-002	1.610826e+000
1.500000000000000e-002	1.931512e+000
1.750000000000000e-002	2.252197e+000
2.000000000000000e-002	2.572883e+000
2.250000000000000e-002	2.893569e+000
2.500000000000000e-002	3.214254e+000
Step Information: Run=58  (Run: 58/100)
0.000000000000000e+000	7.883346e-003
2.500000000000000e-003	3.291809e-001
5.000000000000000e-003	6.505322e-001
7.500000000000000e-003	9.718835e-001
1.000000000000000e-002	1.293235e+000
1.250000000000000e-002	1.614586e+000
1.500000000000000e-002	1.935937e+000
1.750000000000000e-002	2.257289e+000
2.000000000000000e-002	2.578640e+000
2.250000000000000e-002	2.899991e+000
2.500000000000000e-002	3.221342e+000
Step Information: Run=59  (Run: 59/100)
0.000000000000000e+000	1.035527e-002
2.500000000000000e-003	3.280379e-001
5.000000000000000e-003	6.457709e-001
7.500000000000000e-003	9.635040e-001
1.000000000000000e-002	1.281237e+000
1.250000000000000e-002	1.598970e+000
1.500000000000000e-002	1.916703e+000
1.750000000000000e-002	2.234436e+000
2.000000000000000e-002	2.552169e+000
2.250000000000000e-002	2.869902e+000
2.500000000000000e-002	3.187635e+000
Step Information: Run=60  (Run: 60/100)
0.000000000000000e+000	-1.573938e-002
2.500000000000000e-003	3.029465e-001
5.000000000000000e-003	6.217151e-001
7.500000000000000e-003	9.404837e-001
1.000000000000000e-002	1.259252e+000
1.250000000000000e-002	1.578021e+000
1.500000000000000e-002	1.896790e+000
1.750000000000000e-002	2.215558e+000
2.000000000000000e-002	2.534327e+000
2.250000000000000e-002	2.853096e+000
2.500000000000000e-002	3.171864e+000
Step Information: Run=61  (Run: 61/100)
0.000000000000000e+000	5.914180e-003
2.500000000000000e-003	3.251443e-001
5.000000000000000e-003	6.444300e-001
7.500000000000000e-003	9.637157e-001
1.000000000000000e-002	1.283002e+000
1.250000000000000e-002	1.602287e+000
1.500000000000000e-002	1.921573e+000
1.750000000000000e-002	2.240859e+000
2.000000000000000e-002	2.560144e+000
2.250000000000000e-002	2.879430e+000
