Freq.	V(N002,N003)
1.38038426460288e+000	(-1.20933191715949e-007dB,-1.22992335029265e-002°)
1.38356637897177e+000	(-1.21491393642081e-007dB,-1.23275861639764e-002°)
1.38675582887188e+000	(-1.22052173215602e-007dB,-1.23560041846577e-002°)
1.38995263121334e+000	(-1.22615541044117e-007dB,-1.23844877156400e-002°)
1.39315680294529e+000	(-1.23181506770900e-007dB,-1.24130369079401e-002°)
1.39636836105593e+000	(-1.23750086789519e-007dB,-1.24416519129228e-002°)
1.39958732257261e+000	(-1.24321290743249e-007dB,-1.24703328823022e-002°)
1.40281370456195e+000	(-1.24895134061331e-007dB,-1.24990799681417e-002°)
1.40604752412990e+000	(-1.25471622529730e-007dB,-1.25278933228556e-002°)
1.40928879842186e+000	(-1.26050774470668e-007dB,-1.25567730992095e-002°)
1.41253754462274e+000	(-1.26632597598766e-007dB,-1.25857194503209e-002°)
1.41579377995707e+000	(-1.27217106378937e-007dB,-1.26147325296605e-002°)
1.41905752168908e+000	(-1.27804314311765e-007dB,-1.26438124910527e-002°)
1.42232878712281e+000	(-1.28394232969182e-007dB,-1.26729594886767e-002°)
1.42560759360218e+000	(-1.28986872958790e-007dB,-1.27021736770668e-002°)
1.42889395851109e+000	(-1.29582248745502e-007dB,-1.27314552111137e-002°)
1.43218789927353e+000	(-1.30180373829903e-007dB,-1.27608042460652e-002°)
1.43548943335364e+000	(-1.30781259783923e-007dB,-1.27902209375270e-002°)
1.43879857825583e+000	(-1.31384918179494e-007dB,-1.28197054414633e-002°)
1.44211535152486e+000	(-1.31991365410182e-007dB,-1.28492579141981e-002°)
1.44543977074592e+000	(-1.32600608226280e-007dB,-1.28788785124155e-002°)
1.44877185354475e+000	(-1.33212664950012e-007dB,-1.29085673931611e-002°)
1.45211161758773e+000	(-1.33827546188980e-007dB,-1.29383247138423e-002°)
1.45545908058195e+000	(-1.34445265443769e-007dB,-1.29681506322295e-002°)
1.45881426027534e+000	(-1.35065837179293e-007dB,-1.29980453064566e-002°)
1.46217717445671e+000	(-1.35689272967482e-007dB,-1.30280088950221e-002°)
1.46554784095590e+000	(-1.36315586308921e-007dB,-1.30580415567902e-002°)
1.46892627764385e+000	(-1.36944789739867e-007dB,-1.30881434509908e-002°)
1.47231250243271e+000	(-1.37576897725235e-007dB,-1.31183147372213e-002°)
1.47570653327588e+000	(-1.38211924729936e-007dB,-1.31485555754467e-002°)
1.47910838816819e+000	(-1.38849883290229e-007dB,-1.31788661260010e-002°)
1.48251808514594e+000	(-1.39490784978044e-007dB,-1.32092465495876e-002°)
1.48593564228699e+000	(-1.40134643293966e-007dB,-1.32396970072805e-002°)
1.48936107771090e+000	(-1.40781475595891e-007dB,-1.32702176605249e-002°)
1.49279440957898e+000	(-1.41431293455749e-007dB,-1.33008086711384e-002°)
1.49623565609442e+000	(-1.42084110374126e-007dB,-1.33314702013113e-002°)
1.49968483550236e+000	(-1.42739941780263e-007dB,-1.33622024136080e-002°)
1.50314196609001e+000	(-1.43398799246088e-007dB,-1.33930054709677e-002°)
1.50660706618673e+000	(-1.44060699165171e-007dB,-1.34238795367049e-002°)
1.51008015416413e+000	(-1.44725652145114e-007dB,-1.34548247745110e-002°)
1.51356124843619e+000	(-1.45393673615159e-007dB,-1.34858413484545e-002°)
1.51705036745932e+000	(-1.46064781897527e-007dB,-1.35169294229820e-002°)
1.52054752973248e+000	(-1.46738985671166e-007dB,-1.35480891629196e-002°)
1.52405275379728e+000	(-1.47416302293973e-007dB,-1.35793207334729e-002°)
1.52756605823806e+000	(-1.48096746230860e-007dB,-1.36106243002287e-002°)
1.53108746168202e+000	(-1.48780329053758e-007dB,-1.36420000291552e-002°)
1.53461698279928e+000	(-1.49467068120562e-007dB,-1.36734480866035e-002°)
1.53815464030302e+000	(-1.50156975967530e-007dB,-1.37049686393080e-002°)
1.54170045294954e+000	(-1.50850069952558e-007dB,-1.37365618543875e-002°)
1.54525443953840e+000	(-1.51546361647576e-007dB,-1.37682278993461e-002°)
1.54881661891247e+000	(-1.52245868410479e-007dB,-1.37999669420739e-002°)
1.55238700995807e+000	(-1.52948602777527e-007dB,-1.38317791508481e-002°)
1.55596563160506e+000	(-1.53654582106613e-007dB,-1.38636646943339e-002°)
1.55955250282694e+000	(-1.54363818933997e-007dB,-1.38956237415853e-002°)
1.56314764264094e+000	(-1.55076330617574e-007dB,-1.39276564620458e-002°)
1.56675107010813e+000	(-1.55792130657929e-007dB,-1.39597630255498e-002°)
1.57036280433354e+000	(-1.56511233519975e-007dB,-1.39919436023230e-002°)
1.57398286446620e+000	(-1.57233656561608e-007dB,-1.40241983629835e-002°)
1.57761126969933e+000	(-1.57959413283414e-007dB,-1.40565274785430e-002°)
1.58124803927037e+000	(-1.58688521043288e-007dB,-1.40889311204071e-002°)
1.58489319246110e+000	(-1.59420995270471e-007dB,-1.41214094603767e-002°)
1.58854674859776e+000	(-1.60156848501221e-007dB,-1.41539626706486e-002°)
1.59220872705115e+000	(-1.60896098093433e-007dB,-1.41865909238167e-002°)
1.59587914723672e+000	(-1.61638761405003e-007dB,-1.42192943928728e-002°)
1.59955802861465e+000	(-1.62384852900845e-007dB,-1.42520732512073e-002°)
1.60324539069002e+000	(-1.63134387045871e-007dB,-1.42849276726104e-002°)
1.60694125301286e+000	(-1.63887382162304e-007dB,-1.43178578312729e-002°)
1.61064563517825e+000	(-1.64643850786403e-007dB,-1.43508639017874e-002°)
1.61435855682647e+000	(-1.65403812204718e-007dB,-1.43839460591485e-002°)
1.61808003764305e+000	(-1.66167281846490e-007dB,-1.44171044787547e-002°)
1.62181009735891e+000	(-1.66934274176632e-007dB,-1.44503393364085e-002°)
1.62554875575047e+000	(-1.67704806553040e-007dB,-1.44836508083177e-002°)
1.62929603263970e+000	(-1.68478898262264e-007dB,-1.45170390710964e-002°)
1.63305194789432e+000	(-1.69256560876236e-007dB,-1.45505043017660e-002°)
1.63681652142779e+000	(-1.70037814645833e-007dB,-1.45840466777555e-002°)
1.64058977319952e+000	(-1.70822672107313e-007dB,-1.46176663769034e-002°)
1.64437172321491e+000	(-1.71611156404538e-007dB,-1.46513635774579e-002°)
1.64816239152549e+000	(-1.72403275252128e-007dB,-1.46851384580781e-002°)
1.65196179822900e+000	(-1.73199055651254e-007dB,-1.47189911978352e-002°)
1.65576996346951e+000	(-1.73998504352209e-007dB,-1.47529219762128e-002°)
1.65958690743754e+000	(-1.74801644498854e-007dB,-1.47869309731086e-002°)
1.66341265037015e+000	(-1.75608492484757e-007dB,-1.48210183688348e-002°)
1.66724721255104e+000	(-1.76419062774831e-007dB,-1.48551843441195e-002°)
1.67109061431069e+000	(-1.77233377548610e-007dB,-1.48894290801071e-002°)
1.67494287602642e+000	(-1.78051449342352e-007dB,-1.49237527583598e-002°)
1.67880401812254e+000	(-1.78873298406936e-007dB,-1.49581555608582e-002°)
1.68267406107045e+000	(-1.79698938242946e-007dB,-1.49926376700026e-002°)
1.68655302538872e+000	(-1.80528391994245e-007dB,-1.50271992686137e-002°)
1.69044093164324e+000	(-1.81361674125745e-007dB,-1.50618405399335e-002°)
1.69433780044731e+000	(-1.82198800066687e-007dB,-1.50965616676266e-002°)
1.69824365246172e+000	(-1.83039791996605e-007dB,-1.51313628357810e-002°)
1.70215850839493e+000	(-1.83884667273394e-007dB,-1.51662442289088e-002°)
1.70608238900310e+000	(-1.84733438433313e-007dB,-1.52012060319478e-002°)
1.71001531509027e+000	(-1.85586128620223e-007dB,-1.52362484302618e-002°)
1.71395730750840e+000	(-1.86442756156347e-007dB,-1.52713716096422e-002°)
1.71790838715757e+000	(-1.87303336470926e-007dB,-1.53065757563085e-002°)
1.72186857498599e+000	(-1.88167888850511e-007dB,-1.53418610569096e-002°)
1.72583789199018e+000	(-1.89036433545981e-007dB,-1.53772276985245e-002°)
1.72981635921508e+000	(-1.89908986950904e-007dB,-1.54126758686636e-002°)
1.73380399775412e+000	(-1.90785564494520e-007dB,-1.54482057552696e-002°)
1.73780082874935e+000	(-1.91666192213674e-007dB,-1.54838175467184e-002°)
1.74180687339159e+000	(-1.92550881680297e-007dB,-1.55195114318200e-002°)
1.74582215292048e+000	(-1.93439657966903e-007dB,-1.55552875998198e-002°)
1.74984668862464e+000	(-1.94332535538408e-007dB,-1.55911462403995e-002°)
1.75388050184174e+000	(-1.95229532717034e-007dB,-1.56270875436780e-002°)
1.75792361395867e+000	(-1.96130669753660e-007dB,-1.56631117002125e-002°)
1.76197604641161e+000	(-1.97035969792148e-007dB,-1.56992189009993e-002°)
1.76603782068614e+000	(-1.97945446333082e-007dB,-1.57354093374753e-002°)
1.77010895831740e+000	(-1.98859120591670e-007dB,-1.57716832015184e-002°)
1.77418948089014e+000	(-1.99777010890135e-007dB,-1.58080406854491e-002°)
1.77827941003890e+000	(-2.00699142300992e-007dB,-1.58444819820311e-002°)
1.78237876744807e+000	(-2.01625525431846e-007dB,-1.58810072844723e-002°)
1.78648757485203e+000	(-2.02556186319540e-007dB,-1.59176167864264e-002°)
1.79060585403527e+000	(-2.03491143286298e-007dB,-1.59543106819932e-002°)
1.79473362683250e+000	(-2.04430415618672e-007dB,-1.59910891657200e-002°)
1.79887091512876e+000	(-2.05374025496193e-007dB,-1.60279524326027e-002°)
1.80301774085955e+000	(-2.06321987383778e-007dB,-1.60649006780865e-002°)
1.80717412601090e+000	(-2.07274327318268e-007dB,-1.61019340980673e-002°)
1.81134009261958e+000	(-2.08231062657561e-007dB,-1.61390528888927e-002°)
1.81551566277311e+000	(-2.09192212688207e-007dB,-1.61762572473626e-002°)
1.81970085860996e+000	(-2.10157800554068e-007dB,-1.62135473707308e-002°)
1.82389570231961e+000	(-2.11127843613040e-007dB,-1.62509234567058e-002°)
1.82810021614272e+000	(-2.12102365008985e-007dB,-1.62883857034519e-002°)
1.83231442237119e+000	(-2.13081386921436e-007dB,-1.63259343095901e-002°)
1.83653834334832e+000	(-2.14064923815306e-007dB,-1.63635694741992e-002°)
1.84077200146893e+000	(-2.15053002691768e-007dB,-1.64012913968172e-002°)
1.84501541917945e+000	(-2.16045642837373e-007dB,-1.64391002774419e-002°)
1.84926861897805e+000	(-2.17042864502999e-007dB,-1.64769963165321e-002°)
1.85353162341479e+000	(-2.18044688903853e-007dB,-1.65149797150089e-002°)
1.85780445509167e+000	(-2.19051138219469e-007dB,-1.65530506742563e-002°)
1.86208713666284e+000	(-2.20062230772071e-007dB,-1.65912093961228e-002°)
1.86637969083464e+000	(-2.21077994527157e-007dB,-1.66294560829220e-002°)
1.87068214036577e+000	(-2.22098441056659e-007dB,-1.66677909374340e-002°)
1.87499450806739e+000	(-2.23123603147714e-007dB,-1.67062141629063e-002°)
1.87931681680324e+000	(-2.24153493336580e-007dB,-1.67447259630550e-002°)
1.88364908948977e+000	(-2.25188140553084e-007dB,-1.67833265420658e-002°)
1.88799134909627e+000	(-2.26227561190796e-007dB,-1.68220161045951e-002°)
1.89234361864495e+000	(-2.27271781286558e-007dB,-1.68607948557709e-002°)
1.89670592121112e+000	(-2.28320819162595e-007dB,-1.68996630011944e-002°)
1.90107827992327e+000	(-2.29374699891424e-007dB,-1.69386207469405e-002°)
1.90546071796322e+000	(-2.30433444688251e-007dB,-1.69776682995591e-002°)
1.90985325856621e+000	(-2.31497077661265e-007dB,-1.70168058660766e-002°)
1.91425592502106e+000	(-2.32565619061346e-007dB,-1.70560336539964e-002°)
1.91866874067026e+000	(-2.33639094925338e-007dB,-1.70953518713001e-002°)
1.92309172891013e+000	(-2.34717523575464e-007dB,-1.71347607264490e-002°)
1.92752491319091e+000	(-2.35800929119914e-007dB,-1.71742604283849e-002°)
1.93196831701690e+000	(-2.36889336631204e-007dB,-1.72138511865313e-002°)
1.93642196394658e+000	(-2.37982769253197e-007dB,-1.72535332107942e-002°)
1.94088587759275e+000	(-2.39081248201099e-007dB,-1.72933067115638e-002°)
1.94536008162263e+000	(-2.40184795654444e-007dB,-1.73331718997152e-002°)
1.94984459975802e+000	(-2.41293437650077e-007dB,-1.73731289866096e-002°)
1.95433945577537e+000	(-2.42407199260514e-007dB,-1.74131781840953e-002°)
1.95884467350596e+000	(-2.43526099772307e-007dB,-1.74533197045093e-002°)
1.96336027683602e+000	(-2.44650164257973e-007dB,-1.74935537606777e-002°)
1.96788628970682e+000	(-2.45779419718684e-007dB,-1.75338805659175e-002°)
1.97242273611482e+000	(-2.46913884476664e-007dB,-1.75743003340373e-002°)
1.97696964011183e+000	(-2.48053589390395e-007dB,-1.76148132793387e-002°)
1.98152702580507e+000	(-2.49198550853447e-007dB,-1.76554196166171e-002°)
1.98609491735734e+000	(-2.50348798759973e-007dB,-1.76961195611633e-002°)
1.99067333898716e+000	(-2.51504356253837e-007dB,-1.77369133287643e-002°)
1.99526231496885e+000	(-2.52665246478899e-007dB,-1.77778011357045e-002°)
1.99986186963271e+000	(-2.53831497400660e-007dB,-1.78187831987668e-002°)
2.00447202736513e+000	(-2.55003130234326e-007dB,-1.78598597352342e-002°)
2.00909281260870e+000	(-2.56180171016743e-007dB,-1.79010309628901e-002°)
2.01372424986236e+000	(-2.57362645784753e-007dB,-1.79422971000203e-002°)
2.01836636368153e+000	(-2.58550577682221e-007dB,-1.79836583654136e-002°)
2.02301917867824e+000	(-2.59743991781662e-007dB,-1.80251149783634e-002°)
2.02768271952125e+000	(-2.60942917012904e-007dB,-1.80666671586683e-002°)
2.03235701093619e+000	(-2.62147372662499e-007dB,-1.81083151266338e-002°)
2.03704207770569e+000	(-2.63357392481912e-007dB,-1.81500591030733e-002°)
2.04173794466950e+000	(-2.64572991900385e-007dB,-1.81918993093091e-002°)
2.04644463672464e+000	(-2.65794208526693e-007dB,-1.82338359671736e-002°)
2.05116217882553e+000	(-2.67021058754405e-007dB,-1.82758692990109e-002°)
2.05589059598411e+000	(-2.68253569584693e-007dB,-1.83179995276773e-002°)
2.06062991326997e+000	(-2.69491772840369e-007dB,-1.83602268765432e-002°)
2.06538015581050e+000	(-2.70735690700966e-007dB,-1.84025515694936e-002°)
2.07014134879101e+000	(-2.71985350167656e-007dB,-1.84449738309297e-002°)
2.07491351745488e+000	(-2.73240777277286e-007dB,-1.84874938857701e-002°)
2.07969668710366e+000	(-2.74501999031026e-007dB,-1.85301119594518e-002°)
2.08449088309726e+000	(-2.75769043394377e-007dB,-1.85728282779316e-002°)
2.08929613085401e+000	(-2.77041934475530e-007dB,-1.86156430676869e-002°)
2.09411245585086e+000	(-2.78320702168638e-007dB,-1.86585565557175e-002°)
2.09893988362349e+000	(-2.79605371546220e-007dB,-1.87015689695464e-002°)
2.10377843976644e+000	(-2.80895971538104e-007dB,-1.87446805372210e-002°)
2.10862814993326e+000	(-2.82192529145460e-007dB,-1.87878914873145e-002°)
2.11348903983661e+000	(-2.83495070405136e-007dB,-1.88312020489269e-002°)
2.11836113524847e+000	(-2.84803624246958e-007dB,-1.88746124516865e-002°)
2.12324446200018e+000	(-2.86118215743444e-007dB,-1.89181229257508e-002°)
2.12813904598268e+000	(-2.87438878646060e-007dB,-1.89617337018079e-002°)
2.13304491314654e+000	(-2.88765637062995e-007dB,-1.90054450110777e-002°)
2.13796208950220e+000	(-2.90098517995422e-007dB,-1.90492570853133e-002°)
2.14289060112002e+000	(-2.91437552301824e-007dB,-1.90931701568017e-002°)
2.14783047413050e+000	(-2.92782766983374e-007dB,-1.91371844583655e-002°)
2.15278173472434e+000	(-2.94134190969900e-007dB,-1.91813002233643e-002°)
2.15774440915263e+000	(-2.95491853191230e-007dB,-1.92255176856952e-002°)
2.16271852372698e+000	(-2.96855781612864e-007dB,-1.92698370797948e-002°)
2.16770410481966e+000	(-2.98226005164629e-007dB,-1.93142586406400e-002°)
2.17270117886371e+000	(-2.99602552776355e-007dB,-1.93587826037494e-002°)
2.17770977235312e+000	(-3.00985456270851e-007dB,-1.94034092051845e-002°)
2.18272991184296e+000	(-3.02374741684963e-007dB,-1.94481386815511e-002°)
2.18776162394952e+000	(-3.03770438912846e-007dB,-1.94929712700003e-002°)
2.19280493535041e+000	(-3.05172582670295e-007dB,-1.95379072082299e-002°)
2.19785987278479e+000	(-3.06581193208188e-007dB,-1.95829467344858e-002°)
2.20292646305342e+000	(-3.07996308135303e-007dB,-1.96280900875628e-002°)
2.20800473301886e+000	(-3.09417955417139e-007dB,-1.96733375068065e-002°)
2.21309470960560e+000	(-3.10846161090543e-007dB,-1.97186892321142e-002°)
2.21819641980018e+000	(-3.12280961799962e-007dB,-1.97641455039360e-002°)
2.22330989065136e+000	(-3.13722387439553e-007dB,-1.98097065632765e-002°)
2.22843514927026e+000	(-3.15170462117506e-007dB,-1.98553726516957e-002°)
